p,prev_price,t,x1,x2
159.0128809220518,159.46934687915004,1,0.8724883427642037,-0.4146058425894208
158.880321078545,159.0128809220518,2,1.5852267971778715,0.008794804627778947
158.92827911029735,158.880321078545,3,0.20330159933049352,0.1542300743715647
159.07581816841946,158.92827911029735,4,-0.2958851457204672,-0.07429925986423443
159.23087572330274,159.07581816841946,5,2.7321526816693864,-1.2123161793769253
159.38923109078127,159.23087572330274,6,0.8941362555388827,0.45583839388846104
159.31452324655947,159.38923109078127,7,1.3787487260205822,0.8495934650858125
159.1111735972204,159.31452324655947,8,2.5004786504335375,0.09751021735933045
158.80677918842252,159.1111735972204,9,1.4192694315534409,0.43605386647385813
158.6269014686296,158.80677918842252,10,2.0203799906025575,0.6565492115993786
158.43274561906412,158.6269014686296,11,-0.08032899804190241,0.29833158377908303
158.30006321578938,158.43274561906412,12,0.46203065021882594,-0.4206640406487706
158.43725440849897,158.30006321578938,13,0.5810869443925956,0.06297190214583415
158.58881230974433,158.43725440849897,14,0.013988167045560385,0.9728877778357387
158.73886991141214,158.58881230974433,15,1.882219762268519,-1.3591073769233066
158.89269758111746,158.73886991141214,16,-0.4903603476228915,-0.3590436611753228
159.11511305998462,158.89269758111746,17,0.9596774796425479,-0.8404370355933327
159.43880185673592,159.11511305998462,18,-0.6293311921484983,-0.7973659051677131
159.40150341555207,159.43880185673592,19,0.31417479643403723,-0.029633899328528113
159.2349591354174,159.40150341555207,20,1.1071462227124327,0.2853341583512419
159.13041005436764,159.2349591354174,21,1.2990677851298194,-0.1363894295256613
159.19470201925273,159.13041005436764,22,-0.021949158370414557,1.1014476106647535
158.98595782017628,159.19470201925273,23,2.1156531553923577,-0.15852842743129275
159.26737203076266,158.98595782017628,24,-0.8862796163931632,-0.12307173675085809
158.92490528192334,159.26737203076266,25,3.0493825281133047,-0.35547464035129334
158.63093675187528,158.92490528192334,26,1.8093006656158748,-0.14510482772871358
158.2242482000937,158.63093675187528,27,2.0707416506037473,0.21182861497415892
158.1995311349776,158.2242482000937,28,0.9262539969838216,-0.7078188999330824
158.33409417508713,158.1995311349776,29,0.5408021437087573,0.20762029912110652
158.51423132697033,158.33409417508713,30,0.943306823230457,-0.2484622068238345
158.754419957563,158.51423132697033,31,-1.5408799129972532,-0.29319460033862144
158.76777245696584,158.754419957563,32,-1.1985526064982528,-0.6228771680071946
